apc_nosubsp,budlength_min,budlength_max,budwidth_min,budwidth_max,frtlength_min,frtlength_max,frtwidth_min,frtwidth_max,bud_n_min,bud_n_max,max_height_m,colours_all,tree_names,range_names,subgenus
Eucalyptus arachnaea,1.2,2,0.2,0.4,0.4,0.8,0.4,0.5,9,15,10,white_cream,Eucalyptus_arachnae,Eucalyptus arachnaea,Symphyomyrtus
Eucalyptus arborella,NA,NA,NA,NA,NA,NA,NA,NA,11,15,5,green,Eucalyptus_arborella,Eucalyptus arborella,Symphyomyrtus
Eucalyptus arcana,0.5,0.6,0.4,NA,0.1,NA,0.5,0.8,7,7,4,white_cream,NA,Eucalyptus arcana,Symphyomyrtus
Eucalyptus archeri,0.5,0.7,0.3,0.4,0.5,0.8,0.5,0.8,3,3,12,white_cream,NA,Eucalyptus archeri,Symphyomyrtus
Eucalyptus arenacea,0.5,0.6,0.3,0.5,0.4,0.9,0.7,1.2,9,15,10,white_cream,Eucalyptus_arenacea,Eucalyptus arenacea,Eucalyptus
Eucalyptus arenicola,0.3,0.4,0.3,0.4,0.4,0.6,0.5,0.8,11,25,15,white_cream,NA,Eucalyptus arenicola,Eucalyptus
Eucalyptus argillacea,0.6,1,0.4,0.6,0.6,1,0.4,0.6,7,7,5,white_cream,Eucalyptus_argillacea,Eucalyptus argillacea,Symphyomyrtus
Eucalyptus argophloia,0.4,0.6,0.3,0.4,0.3,0.5,0.5,0.7,7,7,30,white_cream,Eucalyptus_argophloia,Eucalyptus argophloia,Symphyomyrtus
Eucalyptus argutifolia,0.7,1.1,0.4,0.6,0.6,1.1,0.7,0.8,7,9,4,white_cream,Eucalyptus_argutifolia,Eucalyptus argutifolia,Symphyomyrtus
Eucalyptus aridimontana,0.5,0.6,0.3,0.4,0.4,0.9,0.4,0.6,7,11,5,white_cream,NA,Eucalyptus aridimontana,Symphyomyrtus
Eucalyptus armillata,2,3,0.9,1.5,0.8,1.5,1,1.8,3,3,6,red white_cream,NA,Eucalyptus armillata,Symphyomyrtus
Eucalyptus aromaphloia,0.4,0.5,0.3,0.4,0.3,0.4,0.4,0.7,7,7,18,white_cream,Eucalyptus_aromaphloia,Eucalyptus aromaphloia,Symphyomyrtus
Eucalyptus articulata,0.7,0.9,0.3,0.5,0.7,0.9,0.4,0.7,7,7,3,white_cream,Eucalyptus_articulata,Eucalyptus articulata,Symphyomyrtus
Eucalyptus aspersa,0.8,1.1,0.3,0.4,0.4,0.8,0.4,0.7,7,7,6,white_cream,Eucalyptus_aspersa,Eucalyptus aspersa,Symphyomyrtus
Eucalyptus aspratilis,2,3,0.5,0.7,1,1.5,0.7,1.2,7,7,5,white_cream,Eucalyptus_aspratilis,Eucalyptus aspratilis,Symphyomyrtus
Eucalyptus assimilans,1.5,1.5,0.7,0.7,0.9,1.2,0.8,0.9,7,7,15,NA,Eucalyptus_assimilans,Eucalyptus assimilans,Symphyomyrtus
Eucalyptus astringens,1,2,0.3,0.7,0.7,1.2,0.6,1,7,7,25,pink white_cream,Eucalyptus_astringens,Eucalyptus astringens,Symphyomyrtus
Eucalyptus atrata,0.6,0.8,0.4,0.5,0.4,0.8,0.5,0.8,7,7,15,white_cream,Eucalyptus_atrata,Eucalyptus atrata,Symphyomyrtus
Eucalyptus aurifodina,0.6,NA,0.3,NA,0.3,0.5,0.5,0.9,9,15,10,white_cream,NA,Eucalyptus aurifodina,Eucalyptus
Eucalyptus badjensis,0.4,0.5,0.3,0.4,0.3,0.5,0.4,0.6,3,3,45,white_cream,Eucalyptus_badjensis,Eucalyptus badjensis,Symphyomyrtus
Eucalyptus baeuerlenii,0.7,1,0.4,0.6,0.5,1,0.8,1.2,3,3,20,white_cream,Eucalyptus_baeuerlenii,Eucalyptus baeuerlenii,Symphyomyrtus
Eucalyptus baileyana,0.5,0.8,0.3,0.5,0.9,1.5,0.8,1.7,7,7,40,white_cream,Eucalyptus_baileyana,Eucalyptus baileyana,Symphyomyrtus
Eucalyptus baiophylla,0.8,1.3,0.4,0.7,0.5,0.9,0.5,0.8,7,9,4,white_cream,NA,Eucalyptus baiophylla,Symphyomyrtus
Eucalyptus bakeri,0.8,1.1,0.2,0.4,0.3,0.4,0.4,0.5,7,15,6,white_cream,Eucalyptus_bakeri,Eucalyptus bakeri,Symphyomyrtus
Eucalyptus balladoniensis,1.6,2.5,0.9,1.1,0.7,1.1,1,1.4,7,7,5,white_cream,Eucalyptus_balladoniensis,Eucalyptus balladoniensis,Symphyomyrtus
Eucalyptus bancroftii,1,2,0.4,0.7,0.4,0.7,0.6,0.9,7,15,30,white_cream,NA,Eucalyptus bancroftii,Symphyomyrtus
Eucalyptus banksii,0.4,0.7,0.4,0.5,0.3,0.6,0.6,1.1,7,7,30,white_cream,NA,Eucalyptus banksii,Symphyomyrtus
Eucalyptus barberi,0.7,1.1,0.4,0.6,0.5,1,0.6,0.9,7,7,8,white_cream,Eucalyptus_barberi,Eucalyptus barberi,Symphyomyrtus
Eucalyptus baudiniana,0.5,0.8,0.3,0.4,0.4,0.6,0.3,0.4,7,15,10,white_cream,NA,Eucalyptus baudiniana,Symphyomyrtus
Eucalyptus baueriana,0.3,0.6,0.3,0.4,0.3,0.6,0.3,0.7,7,7,20,white_cream,Eucalyptus_baueriana,Eucalyptus baueriana,Symphyomyrtus
Eucalyptus baxteri,0.5,1,0.4,0.6,0.4,1.2,0.7,1.8,9,15,40,white_cream,Eucalyptus_baxteri,Eucalyptus baxteri,Eucalyptus
Eucalyptus beaniana,0.4,0.7,0.2,0.4,0.4,0.6,0.3,0.6,7,7,15,white_cream,Eucalyptus_beaniana,Eucalyptus beaniana,Symphyomyrtus
Eucalyptus beardiana,1.9,2.2,0.7,0.9,0.6,1,0.9,1.3,9,9,4,white_cream,Eucalyptus_beardiana,Eucalyptus beardiana,Symphyomyrtus
Eucalyptus behriana,0.3,0.7,0.2,0.4,0.3,0.6,0.3,0.5,7,7,12,white_cream,Eucalyptus_behriana,Eucalyptus behriana,Symphyomyrtus
Eucalyptus bensonii,0.5,1,0.3,0.4,0.5,0.7,0.8,1.2,7,11,8,white_cream,Eucalyptus_bensonii,Eucalyptus bensonii,Eucalyptus
Eucalyptus benthamii,0.3,0.5,0.2,0.4,0.3,0.4,0.4,0.6,7,7,40,white_cream,Eucalyptus_benthamii,Eucalyptus benthamii,Symphyomyrtus
Eucalyptus beyeriana,0.4,0.5,0.2,0.3,0.3,0.6,0.3,0.6,7,7,25,white_cream,Eucalyptus_beyeriana,Eucalyptus beyeriana,Symphyomyrtus
Eucalyptus bigalerita,0.6,1.2,0.6,1.1,0.6,0.9,0.8,1.2,7,7,17,white_cream,NA,Eucalyptus bigalerita,Symphyomyrtus
Eucalyptus blakelyi,0.8,1.4,0.3,0.6,0.2,0.5,0.4,0.8,7,15,25,white_cream,Eucalyptus_blakelyi,Eucalyptus blakelyi,Symphyomyrtus
Eucalyptus blaxellii,0.4,0.8,0.25,0.5,0.4,0.6,0.4,0.6,7,7,3,white_cream,Eucalyptus_blaxellii,Eucalyptus blaxellii,Symphyomyrtus
Eucalyptus blaxlandii,0.6,NA,0.3,0.4,0.4,0.6,0.7,1.3,9,15,35,white_cream,Eucalyptus_blaxlandii,Eucalyptus blaxlandii,Eucalyptus
Eucalyptus boliviana,0.5,0.6,1,1.5,0.5,0.6,1,1.5,7,7,12,white_cream,Eucalyptus_boliviana,Eucalyptus boliviana,Eucalyptus
Eucalyptus bosistoana,0.6,0.8,0.3,0.5,0.4,0.8,0.4,0.8,7,7,60,white_cream,Eucalyptus_bosistoana,Eucalyptus bosistoana,Symphyomyrtus
Eucalyptus botryoides,0.7,1.4,0.4,0.6,0.6,1.3,0.5,0.9,7,11,40,white_cream,Eucalyptus_botryoides,Eucalyptus botryoides,Symphyomyrtus
Eucalyptus brachyandra,0.25,0.4,0.2,0.25,0.2,0.3,0.2,0.3,3,7,8,white_cream,Eucalyptus_brachyandra,Eucalyptus brachyandra,Symphyomyrtus
Eucalyptus brachycalyx,0.5,1,0.3,0.6,0.4,0.8,0.5,0.8,7,11,8,white_cream,Eucalyptus_brachycalyx,Eucalyptus brachycalyx,Symphyomyrtus
Eucalyptus brandiana,5,6.5,3,6,5.6,6.8,4.8,6,1,1,5,pink,NA,Eucalyptus brandiana,Symphyomyrtus
Eucalyptus brassiana,1,1.5,0.4,0.7,0.4,1,0.7,1.2,7,7,20,white_cream,Eucalyptus_brassiana,Eucalyptus brassiana,Symphyomyrtus
Eucalyptus brevifolia,0.6,0.9,0.4,0.8,0.4,0.8,0.6,0.9,7,7,10,white_cream,Eucalyptus_brevifolia,Eucalyptus brevifolia,Symphyomyrtus
Eucalyptus brevipes,0.7,0.8,0.3,0.5,0.6,0.7,0.4,0.7,7,7,5,white_cream,Eucalyptus_brevipes,Eucalyptus brevipes,Symphyomyrtus
Eucalyptus brevistylis,0.3,NA,0.3,NA,0.6,1,0.6,0.9,9,13,25,white_cream,Eucalyptus_brevistylis,Eucalyptus brevistylis,Eucalyptus
Eucalyptus bridgesiana,0.5,0.8,0.3,0.5,0.3,0.7,0.4,0.8,7,7,25,white_cream,Eucalyptus_bridgesiana,Eucalyptus bridgesiana,Symphyomyrtus
Eucalyptus brockwayi,0.6,0.8,0.3,0.4,0.4,0.6,0.4,0.7,11,15,15,white_cream,Eucalyptus_brockwayi,Eucalyptus brockwayi,Symphyomyrtus
Eucalyptus brookeriana,0.6,1,0.3,0.6,0.4,0.8,0.5,0.7,7,7,40,white_cream,Eucalyptus_brookeriana,Eucalyptus brookeriana,Symphyomyrtus
Eucalyptus broviniensis,0.5,0.6,0.5,NA,0.3,0.5,0.6,1.1,7,7,10,white_cream,NA,Eucalyptus broviniensis,Symphyomyrtus
Eucalyptus brownii,0.2,0.4,0.2,0.3,0.2,0.3,0.2,0.3,11,15,18,white_cream,NA,Eucalyptus brownii,Symphyomyrtus
Eucalyptus buprestium,0.5,0.6,0.3,0.5,1.8,2.6,1.7,2.6,9,15,4,white_cream,Eucalyptus_buprestium,Eucalyptus buprestium,Eucalyptus
Eucalyptus burdettiana,2,5.8,0.4,1.3,1.9,2.7,2,2.5,7,11,4,green,Eucalyptus_burdettiana,Eucalyptus burdettiana,Symphyomyrtus
Eucalyptus burgessiana,0.7,1.1,0.3,0.6,0.9,1.2,0.7,1.3,7,11,7,white_cream,Eucalyptus_burgessiana,Eucalyptus burgessiana,Eucalyptus
Eucalyptus burracoppinensis,1.6,3,1.3,2,0.6,1.3,1.7,2.5,3,3,6,white_cream,Eucalyptus_burracoppinensis,Eucalyptus burracoppinensis,Symphyomyrtus
Eucalyptus cadens,0.45,0.7,0.25,0.4,0.3,0.4,0.4,0.6,7,7,25,white_cream,Eucalyptus_cadens,Eucalyptus cadens,Symphyomyrtus
Eucalyptus caesia,1.7,3,1,1.3,1.5,3,1.8,2.8,3,3,15,pink,Eucalyptus_caesia,Eucalyptus caesia,Symphyomyrtus
Eucalyptus calcareana,0.7,1.3,0.5,0.6,0.5,1,0.6,0.9,7,9,8,white_cream,Eucalyptus_calcareana,Eucalyptus calcareana,Symphyomyrtus
Eucalyptus calcicola,0.7,1.5,0.5,0.9,0.8,1.3,0.9,1.5,7,13,6,white_cream,Eucalyptus_calcicola,Eucalyptus calcicola,Eucalyptus
Eucalyptus caleyi,0.7,1,0.4,0.7,0.6,1.2,0.4,0.9,7,7,30,white_cream,Eucalyptus_caleyi,Eucalyptus caleyi,Symphyomyrtus
Eucalyptus caliginosa,0.5,0.6,0.2,0.4,0.4,0.6,0.6,0.8,7,11,35,white_cream,Eucalyptus_caliginosa,Eucalyptus caliginosa,Symphyomyrtus
Eucalyptus calycogona,0.6,1.5,0.3,0.7,0.7,1.5,0.4,0.9,7,7,6,pink white_cream,Eucalyptus_calycogona,Eucalyptus calycogona,Symphyomyrtus
Eucalyptus calyerup,2,3.3,0.5,0.8,0.8,1.4,0.8,1.2,7,7,10,white_cream,NA,Eucalyptus calyerup,Symphyomyrtus
Eucalyptus camaldulensis,0.4,1.8,0.3,0.7,0.2,0.7,0.3,1,7,11,50,white_cream,Eucalyptus_camaldulensis,Eucalyptus camaldulensis,Symphyomyrtus
Eucalyptus cambageana,0.4,0.5,0.2,0.4,0.3,0.6,0.5,0.6,7,7,25,white_cream,NA,Eucalyptus cambageana,Symphyomyrtus
Eucalyptus cameronii,0.4,0.5,0.3,NA,0.4,0.5,0.4,0.6,9,15,40,white_cream,NA,Eucalyptus cameronii,Eucalyptus
Eucalyptus camfieldii,0.6,1,0.3,0.4,0.4,0.5,0.7,0.9,9,15,4,white_cream,NA,Eucalyptus camfieldii,Eucalyptus
Eucalyptus campanulata,0.3,0.5,0.3,0.4,0.4,0.6,0.4,0.7,11,15,45,white_cream,NA,Eucalyptus campanulata,Eucalyptus
Eucalyptus campaspe,0.9,1.2,0.6,1,0.5,1,0.8,1.5,7,7,10,white_cream,Eucalyptus_campaspe,Eucalyptus campaspe,Symphyomyrtus
Eucalyptus camphora,0.4,0.8,0.25,0.5,0.2,0.6,0.4,0.7,7,7,25,white_cream,Eucalyptus_camphora,Eucalyptus camphora,Symphyomyrtus
Eucalyptus canaliculata,0.8,1.1,0.6,0.7,0.6,1,1,1.5,7,7,30,white_cream,Eucalyptus_canaliculata,Eucalyptus canaliculata,Symphyomyrtus
Eucalyptus canescens,0.9,1.4,0.8,0.9,0.8,1.2,0.9,1.2,7,9,3,white_cream,Eucalyptus_canescens,Eucalyptus canescens,Symphyomyrtus
Eucalyptus canobolensis,0.6,NA,0.4,NA,0.5,0.6,0.5,0.8,3,3,40,white_cream,Eucalyptus_canobolensis,Eucalyptus canobolensis,Symphyomyrtus
Eucalyptus capillosa,0.8,1.6,0.2,0.4,0.5,0.8,0.4,0.6,9,13,12,white_cream,Eucalyptus_capillosa,Eucalyptus capillosa,Symphyomyrtus
Eucalyptus capitellata,0.6,0.8,0.3,0.4,0.4,0.7,0.7,1,7,15,25,white_cream,Eucalyptus_capitellata,Eucalyptus capitellata,Eucalyptus
Eucalyptus captiosa,1.3,1.9,0.5,0.7,0.8,1.5,0.8,1.1,3,7,4,white_cream,Eucalyptus_captiosa,Eucalyptus captiosa,Symphyomyrtus
Eucalyptus carnea,0.6,0.7,0.3,0.4,0.3,0.7,0.5,0.8,7,11,30,white_cream,Eucalyptus_carnea,Eucalyptus carnea,Eucalyptus
Eucalyptus carnei,0.9,1.3,0.5,0.6,0.5,1,0.6,0.9,7,7,6,white_cream,Eucalyptus_carnei,Eucalyptus carnei,Symphyomyrtus
Eucalyptus castrensis,0.5,0.6,0.2,0.4,0.4,0.5,0.4,0.6,7,7,8,white_cream,Eucalyptus_castrensis,Eucalyptus castrensis,Symphyomyrtus
Eucalyptus celastroides,0.5,1,0.2,0.4,0.5,0.8,0.4,0.8,7,9,10,white_cream,Eucalyptus_celastroides,Eucalyptus celastroides,Symphyomyrtus
Eucalyptus cephalocarpa,0.3,0.6,0.3,0.4,0.3,0.6,0.4,0.8,7,7,22,white_cream,Eucalyptus_cephalocarpa,Eucalyptus cephalocarpa,Symphyomyrtus
Eucalyptus ceracea,1.5,1.7,0.6,NA,1.7,3.3,1.1,1.7,7,9,6,orange,Eucalyptus_ceracea,Eucalyptus ceracea,Eudesmia
Eucalyptus cerasiformis,0.9,1.1,0.5,0.6,0.8,1,0.6,1.1,7,7,3,white_cream,Eucalyptus_cerasiformis,Eucalyptus cerasiformis,Symphyomyrtus
Eucalyptus ceratocorys,1.7,3,0.6,1.1,1.2,2,0.8,1.6,7,9,10,red white_cream,Eucalyptus_ceratocorys,Eucalyptus ceratocorys,Symphyomyrtus
Eucalyptus cernua,1,1.6,0.6,1,0.9,1.4,0.8,1.3,7,7,5,green pink white_cream,Eucalyptus_cernua,Eucalyptus cernua,Symphyomyrtus
Eucalyptus chapmaniana,0.7,0.9,0.5,0.6,0.5,0.9,0.7,1,3,3,35,white_cream,NA,Eucalyptus chapmaniana,Symphyomyrtus
Eucalyptus chartaboma,1.6,2.1,0.8,1.1,3,7.5,3,6.5,7,7,18,orange,Eucalyptus_chartaboma,Eucalyptus chartaboma,Eudesmia
Eucalyptus chloroclada,0.7,1.2,0.3,0.6,0.2,0.5,0.4,0.7,7,7,20,white_cream,NA,Eucalyptus chloroclada,Symphyomyrtus
Eucalyptus chlorophylla,0.5,0.8,0.3,0.4,0.3,0.7,0.3,0.6,7,7,18,white_cream,Eucalyptus_chlorophylla,Eucalyptus chlorophylla,Symphyomyrtus
Eucalyptus cinerea,0.6,0.8,0.3,0.5,0.4,0.7,0.4,0.9,3,3,15,white_cream,Eucalyptus_cinerea,Eucalyptus cinerea,Symphyomyrtus
Eucalyptus cladocalyx,0.8,1.1,0.4,0.5,0.6,1.6,0.4,1.1,7,11,35,white_cream,Eucalyptus_cladocalyx,Eucalyptus cladocalyx,Symphyomyrtus
Eucalyptus clelandiorum,0.7,1.2,0.4,0.7,0.5,0.9,0.5,0.8,7,11,10,white_cream,Eucalyptus_clelandii,Eucalyptus clelandiorum,Symphyomyrtus
Eucalyptus clivicola,1.4,2.1,0.3,0.4,0.6,1,0.5,0.6,9,13,12,yellow,Eucalyptus_clivicola,Eucalyptus clivicola,Symphyomyrtus
Eucalyptus cloeziana,0.4,0.6,0.3,0.4,0.4,0.7,0.6,1.1,7,7,55,white_cream,Eucalyptus_cloeziana,Eucalyptus cloeziana,Idiogenes
Eucalyptus cneorifolia,0.6,1.1,0.3,0.6,0.4,0.7,0.5,0.8,7,11,10,white_cream,Eucalyptus_cneorifolia,Eucalyptus cneorifolia,Symphyomyrtus
Eucalyptus coccifera,0.5,0.8,0.4,0.7,0.6,1.2,0.8,1.3,3,9,30,white_cream,NA,Eucalyptus coccifera,Eucalyptus
Eucalyptus codonocarpa,0.5,0.6,0.3,0.4,0.5,0.8,0.6,0.9,3,3,6,white_cream,NA,Eucalyptus codonocarpa,Eucalyptus
Eucalyptus comitae-vallis,0.6,0.9,0.3,0.5,0.5,0.8,0.5,0.7,7,11,7,white_cream,Eucalyptus_comitae,Eucalyptus comitae-vallis,Symphyomyrtus
Eucalyptus concinna,0.6,1.2,0.4,1,0.5,1.2,0.6,1.1,7,11,9,white_cream,Eucalyptus_concinna,Eucalyptus concinna,Symphyomyrtus
Eucalyptus conferruminata,NA,NA,NA,NA,NA,NA,NA,NA,7,27,8,green,Eucalyptus_conferruminata,Eucalyptus conferruminata,Symphyomyrtus
Eucalyptus confluens,0.5,0.8,0.3,0.5,0.4,0.7,0.6,0.7,7,7,8,white_cream,Eucalyptus_confluens,Eucalyptus confluens,Symphyomyrtus
Eucalyptus conglobata,0.5,1.5,0.4,0.8,0.4,1,0.5,1.1,7,7,20,white_cream,Eucalyptus_conglobata,Eucalyptus conglobata,Symphyomyrtus
Eucalyptus conglomerata,0.4,0.5,0.3,NA,0.2,0.5,0.4,0.7,11,15,8,white_cream,Eucalyptus_conglomerata,Eucalyptus conglomerata,Eucalyptus
Eucalyptus conica,0.4,0.5,0.2,0.3,0.3,0.6,0.3,0.5,7,7,20,white_cream,Eucalyptus_conica,Eucalyptus conica,Symphyomyrtus
Eucalyptus consideniana,0.3,0.4,0.2,0.4,0.5,0.9,0.6,0.8,11,19,30,white_cream,Eucalyptus_consideniana,Eucalyptus consideniana,Eucalyptus
Eucalyptus conspicua,0.6,1,0.4,0.6,0.4,0.9,0.5,0.9,3,7,15,white_cream,Eucalyptus_conspicua,Eucalyptus conspicua,Symphyomyrtus
Eucalyptus conveniens,1,1.3,0.5,NA,1,2.1,0.8,1.2,3,3,2.5,white_cream,Eucalyptus_conveniens,Eucalyptus conveniens,Eudesmia
Eucalyptus coolabah,0.3,0.5,0.2,0.4,0.2,0.4,0.3,0.5,7,7,20,white_cream,Eucalyptus_coolabah,Eucalyptus coolabah,Symphyomyrtus
Eucalyptus cooperiana,0.6,1.1,0.4,0.5,0.5,1,0.7,0.9,9,13,4,white_cream,Eucalyptus_cooperiana,Eucalyptus cooperiana,Symphyomyrtus
Eucalyptus cordata,0.9,1.3,0.6,1,0.6,1.3,0.8,1.5,3,3,25,white_cream,Eucalyptus_cordata,Eucalyptus cordata,Symphyomyrtus
Eucalyptus cornuta,2.3,4.2,0.5,0.8,0.5,1.2,0.6,1.3,11,21,20,yellow,Eucalyptus_cornuta,Eucalyptus cornuta,Symphyomyrtus
Eucalyptus coronata,2.7,3,2.2,2.3,1.7,2.5,3.2,5.3,3,3,3,white_cream,Eucalyptus_coronata,Eucalyptus coronata,Eucalyptus
Eucalyptus corrugata,1,1.8,0.9,1.3,0.7,1.5,1.1,1.8,3,3,15,white_cream,Eucalyptus_corrugata,Eucalyptus corrugata,Symphyomyrtus
Eucalyptus corticosa,0.4,0.5,0.3,0.4,0.3,0.5,0.3,0.6,7,7,8,white_cream,Eucalyptus_corticosa,Eucalyptus corticosa,Symphyomyrtus
Eucalyptus corynodes,0.6,0.7,0.3,0.4,0.6,0.9,0.4,0.8,7,7,20,white_cream,NA,Eucalyptus corynodes,Symphyomyrtus
Eucalyptus cosmophylla,1.1,2.2,0.7,1.5,0.9,1.8,1,2.2,3,3,5,white_cream,Eucalyptus_cosmophylla,Eucalyptus cosmophylla,Symphyomyrtus
Eucalyptus crebra,0.3,0.7,0.2,0.4,0.2,0.7,0.25,0.6,7,11,35,white_cream,Eucalyptus_crebra,Eucalyptus crebra,Symphyomyrtus
Eucalyptus crenulata,0.5,0.7,0.3,0.4,0.3,0.5,0.4,0.6,7,11,12,white_cream,Eucalyptus_crenulata,Eucalyptus crenulata,Symphyomyrtus
Eucalyptus creta,1.5,2.2,1.4,2,0.8,1.3,1.5,2.8,3,3,10,white_cream,Eucalyptus_creta,Eucalyptus creta,Symphyomyrtus
Eucalyptus cretata,0.8,1.4,0.4,0.8,0.6,1,0.7,1.1,7,7,4,white_cream,Eucalyptus_cretata,Eucalyptus cretata,Symphyomyrtus
Eucalyptus crispata,0.9,1.2,0.3,0.4,0.5,0.8,0.4,0.6,9,13,8,white_cream,NA,Eucalyptus crispata,Symphyomyrtus
Eucalyptus croajingolensis,0.3,0.5,0.2,0.3,0.4,0.6,0.4,0.6,9,19,30,white_cream,Eucalyptus_croajingolensis,Eucalyptus croajingolensis,Eucalyptus
Eucalyptus crucis,0.7,1.5,0.5,1.1,0.4,1,1,1.5,7,7,15,white_cream yellow,Eucalyptus_crucis,Eucalyptus crucis,Symphyomyrtus
Eucalyptus cullenii,0.4,0.6,0.3,0.4,0.2,0.4,0.4,0.8,7,7,25,white_cream,NA,Eucalyptus cullenii,Symphyomyrtus
Eucalyptus cunninghamii,0.4,0.6,0.3,NA,0.5,0.8,0.5,0.7,7,9,3,white_cream,Eucalyptus_cunninghamii,Eucalyptus cunninghamii,Eucalyptus
Eucalyptus cuprea,0.5,NA,0.3,0.4,0.4,0.7,0.4,0.5,7,7,6,white_cream,Eucalyptus_cuprea,Eucalyptus cuprea,Symphyomyrtus
