apc_nosubsp,budlength_min,budlength_max,budwidth_min,budwidth_max,frtlength_min,frtlength_max,frtwidth_min,frtwidth_max,bud_n_min,bud_n_max,max_height_m,colours_all,tree_names,range_names,subgenus
Eucalyptus cupularis,0.75,1.4,0.4,0.9,0.5,1.2,0.7,1.2,7,7,8,white_cream,Eucalyptus_cupularis,Eucalyptus cupularis,Symphyomyrtus
Eucalyptus curtisii,0.5,0.8,0.4,0.7,0.5,1.1,0.6,1.1,7,7,7,white_cream,Eucalyptus_curtisii,Eucalyptus curtisii,Acerosae
Eucalyptus cyanophylla,0.7,1.3,0.5,0.8,0.6,1,0.7,1,7,7,6,white_cream,Eucalyptus_cyanophylla,Eucalyptus cyanophylla,Symphyomyrtus
Eucalyptus cyclostoma,0.8,1.4,0.5,0.7,0.8,1,0.7,1,7,11,3,white_cream,Eucalyptus_cyclostoma,Eucalyptus cyclostoma,Symphyomyrtus
Eucalyptus cylindriflora,1,1.3,0.4,0.7,0.6,1,0.6,0.9,7,7,4,white_cream,Eucalyptus_cylindriflora,Eucalyptus cylindriflora,Symphyomyrtus
Eucalyptus cylindrocarpa,0.7,1.3,0.3,0.4,0.6,1.2,0.4,0.6,7,11,6,white_cream,Eucalyptus_cylindrocarpa,Eucalyptus cylindrocarpa,Symphyomyrtus
Eucalyptus cypellocarpa,0.8,1.1,0.3,0.6,0.5,1,0.5,1,7,7,65,white_cream,Eucalyptus_cypellocarpa,Eucalyptus cypellocarpa,Symphyomyrtus
Eucalyptus dalrympleana,0.5,1,0.2,0.6,0.3,0.8,0.5,0.9,3,7,60,white_cream,Eucalyptus_dalrympleana,Eucalyptus dalrympleana,Symphyomyrtus
Eucalyptus dawsonii,0.3,0.5,0.2,0.3,0.3,0.5,0.3,0.4,7,7,30,white_cream,Eucalyptus_dawsonii,Eucalyptus dawsonii,Symphyomyrtus
Eucalyptus dealbata,0.6,1.3,0.35,0.5,0.2,0.6,0.5,0.7,7,11,20,white_cream,Eucalyptus_dealbata,Eucalyptus dealbata,Symphyomyrtus
Eucalyptus deanei,0.4,0.8,0.3,0.5,0.4,0.7,0.4,0.7,7,11,65,white_cream,Eucalyptus_deanei,Eucalyptus deanei,Symphyomyrtus
Eucalyptus decipiens,0.9,1,0.35,0.5,0.3,0.6,0.5,0.9,11,21,5,white_cream,Eucalyptus_decipiens,Eucalyptus decipiens,Symphyomyrtus
Eucalyptus decolor,0.4,NA,0.2,0.3,0.4,0.5,0.4,0.6,7,7,25,white_cream,Eucalyptus_decolor,Eucalyptus decolor,Symphyomyrtus
Eucalyptus decorticans,0.6,0.7,0.3,0.4,0.7,0.9,0.5,0.6,7,7,40,white_cream,Eucalyptus_decorticans,Eucalyptus decorticans,Symphyomyrtus
Eucalyptus decurva,0.5,1,0.4,0.5,0.7,1.1,0.7,1,7,7,3,white_cream,Eucalyptus_decurva,Eucalyptus decurva,Symphyomyrtus
Eucalyptus deflexa,0.8,1.2,0.4,0.5,0.9,1.2,0.7,0.9,7,7,3,white_cream,Eucalyptus_deflexa,Eucalyptus deflexa,Symphyomyrtus
Eucalyptus delegatensis,0.4,0.6,0.3,0.5,0.6,1.3,0.6,1.1,7,15,90,white_cream,Eucalyptus_delegatensis,Eucalyptus delegatensis,Eucalyptus
Eucalyptus delicata,0.5,0.8,0.3,NA,0.4,0.5,0.4,0.5,7,11,15,white_cream,Eucalyptus_delicata,Eucalyptus delicata,Symphyomyrtus
Eucalyptus dendromorpha,0.5,0.6,0.2,0.3,0.7,1,0.7,1.1,7,11,30,white_cream,NA,Eucalyptus dendromorpha,Eucalyptus
Eucalyptus densa,1.5,3.5,0.3,0.5,0.7,1.4,0.5,0.7,7,11,10,white_cream yellow,Eucalyptus_densa,Eucalyptus densa,Symphyomyrtus
Eucalyptus denticulata,0.5,NA,0.3,NA,0.5,0.7,0.4,0.6,7,7,70,white_cream,Eucalyptus_denticulata,Eucalyptus denticulata,Symphyomyrtus
Eucalyptus depauperata,1.6,2.4,0.5,0.6,0.8,1,0.6,0.9,7,7,4,pink white_cream,Eucalyptus_depauperata,Eucalyptus depauperata,Symphyomyrtus
Eucalyptus desmondensis,0.7,1.2,0.4,0.6,0.5,1,0.6,0.9,9,19,6,white_cream,Eucalyptus_desmondensis,Eucalyptus desmondensis,Symphyomyrtus
Eucalyptus deuaensis,0.8,NA,0.6,0.7,0.5,0.6,1,1.5,7,7,5,white_cream,Eucalyptus_deuaensis,Eucalyptus deuaensis,Eucalyptus
Eucalyptus dielsii,1.1,1.9,0.6,0.9,0.8,1.1,1,1.4,7,7,8,green,Eucalyptus_dielsii,Eucalyptus dielsii,Symphyomyrtus
Eucalyptus diminuta,1.8,2.7,0.4,0.8,0.7,1.2,0.7,1.2,7,7,6,white_cream,Eucalyptus_diminuta,Eucalyptus diminuta,Symphyomyrtus
Eucalyptus diptera,0.8,1.5,0.6,1.1,0.5,0.9,0.9,1.5,3,3,10,white_cream,Eucalyptus_diptera,Eucalyptus diptera,Symphyomyrtus
Eucalyptus discreta,0.4,0.7,0.3,0.4,0.5,0.6,0.5,0.6,7,9,5,white_cream,Eucalyptus_discreta,Eucalyptus discreta,Symphyomyrtus
Eucalyptus dissimulata,0.7,1.2,0.4,0.5,0.5,0.7,0.5,0.8,7,11,3,white_cream,Eucalyptus_dissimulata,Eucalyptus dissimulata,Symphyomyrtus
Eucalyptus distans,0.3,0.4,0.3,NA,0.3,0.5,0.3,0.5,7,7,7,white_cream,Eucalyptus_distans,Eucalyptus distans,Symphyomyrtus
Eucalyptus distuberosa,0.6,1,0.5,0.7,0.5,0.8,0.6,0.8,7,7,14,white_cream,Eucalyptus_distuberosa,Eucalyptus distuberosa,Symphyomyrtus
Eucalyptus diversicolor,1.1,1.6,0.5,0.7,1,1.2,0.8,1,7,7,80,white_cream,Eucalyptus_diversicolor,Eucalyptus diversicolor,Symphyomyrtus
Eucalyptus diversifolia,0.5,1.2,0.4,0.7,0.5,1.1,0.6,1.1,7,11,6,white_cream,Eucalyptus_diversifolia,Eucalyptus diversifolia,Eucalyptus
Eucalyptus dives,0.3,0.6,0.2,0.4,0.3,0.7,0.4,0.8,11,11,25,white_cream,Eucalyptus_dives,Eucalyptus dives,Eucalyptus
Eucalyptus dolichocera,1.2,1.9,0.35,0.5,0.5,0.9,0.5,0.8,9,13,6,white_cream,Eucalyptus_dolichocera,Eucalyptus dolichocera,Symphyomyrtus
Eucalyptus dolichorhyncha,3.2,5.5,1,1.8,2.9,4,1.3,3,1,1,6,red yellow,Eucalyptus_dolichorhyncha,Eucalyptus dolichorhyncha,Symphyomyrtus
Eucalyptus dolorosa,0.7,0.8,0.5,0.6,1,1.2,1.1,1.4,7,7,1.5,white_cream,Eucalyptus_dolorosa,Eucalyptus dolorosa,Eucalyptus
Eucalyptus doratoxylon,0.8,1.1,0.3,0.4,0.5,0.9,0.5,0.8,7,7,5,white_cream,Eucalyptus_dorotoxylon,Eucalyptus doratoxylon,Symphyomyrtus
Eucalyptus dorrigoensis,0.4,0.5,0.2,0.3,0.3,0.4,0.4,0.5,7,7,30,white_cream,NA,Eucalyptus dorrigoensis,Symphyomyrtus
Eucalyptus drummondii,0.8,1.8,0.4,1,0.5,0.9,1,1.2,7,7,4,white_cream,Eucalyptus_drummondii,Eucalyptus drummondii,Symphyomyrtus
Eucalyptus dumosa,0.6,1.1,0.3,0.5,0.4,0.9,0.5,0.7,7,7,8,white_cream,Eucalyptus_dumosa,Eucalyptus dumosa,Symphyomyrtus
Eucalyptus dundasii,0.7,1.1,0.3,0.4,0.6,0.9,0.4,0.6,7,7,15,white_cream,Eucalyptus_dundasii,Eucalyptus dundasii,Symphyomyrtus
Eucalyptus dunnii,0.6,0.7,0.3,0.5,0.4,0.6,0.5,0.9,7,7,50,white_cream,Eucalyptus_dunnii,Eucalyptus dunnii,Symphyomyrtus
Eucalyptus dura,0.7,0.9,0.4,0.5,0.6,1,0.5,0.7,7,7,25,white_cream,Eucalyptus_dura,Eucalyptus dura,Symphyomyrtus
Eucalyptus dwyeri,0.6,1.3,0.3,0.6,0.3,0.9,0.5,0.7,7,7,15,white_cream,Eucalyptus_dwyeri,Eucalyptus dwyeri,Symphyomyrtus
Eucalyptus ebbanoensis,0.4,0.8,0.5,0.7,0.6,1.1,0.7,1.2,3,3,6,white_cream,Eucalyptus_ebbanoensis,Eucalyptus ebbanoensis,Eudesmia
Eucalyptus ecostata,1.3,2,0.4,0.6,0.5,0.9,0.6,1,11,15,5,white_cream,NA,Eucalyptus ecostata,Symphyomyrtus
Eucalyptus educta,1.3,1.5,0.3,0.6,0.5,0.6,0.8,1.1,7,7,4,white_cream,Eucalyptus_educta,Eucalyptus educta,Symphyomyrtus
Eucalyptus effusa,0.6,0.8,0.3,0.5,0.4,0.6,0.4,0.7,7,7,4,white_cream,Eucalyptus_effusa,Eucalyptus effusa,Symphyomyrtus
Eucalyptus elaeophloia,0.5,0.7,0.3,0.5,0.4,0.5,0.6,0.8,3,3,12,white_cream,Eucalyptus_elaeophloia,Eucalyptus elaeophloia,Symphyomyrtus
Eucalyptus elata,0.2,0.4,0.15,0.3,0.3,0.5,0.3,0.6,11,30,40,white_cream,Eucalyptus_elata,Eucalyptus elata,Eucalyptus
Eucalyptus elliptica,0.5,0.8,0.3,0.4,0.4,0.6,0.5,0.8,7,7,20,white_cream,Eucalyptus_elliptica,Eucalyptus elliptica,Symphyomyrtus
Eucalyptus erectifolia,0.7,1.1,0.4,0.6,1.1,1.4,1.4,1.8,7,13,2.5,white_cream,Eucalyptus_erectifolia,Eucalyptus erectifolia,Eucalyptus
Eucalyptus eremicola,0.6,0.9,0.2,0.4,0.3,0.6,0.4,0.6,9,15,8,white_cream,Eucalyptus_eremicola,Eucalyptus eremicola,Symphyomyrtus
Eucalyptus eremophila,2.2,3,0.5,0.7,0.8,1.4,0.7,1.2,7,11,5,pink white_cream,Eucalyptus_eremophila,Eucalyptus eremophila,Symphyomyrtus
Eucalyptus erosa,0.6,0.8,0.3,0.4,0.4,0.6,0.6,0.8,9,9,30,white_cream,NA,Eucalyptus erosa,Eucalyptus
Eucalyptus erythrocorys,2,2.5,2,2.6,2.8,4,3,5.5,3,3,8,yellow,Eucalyptus_erythrocorys,Eucalyptus erythrocorys,Eudesmia
Eucalyptus erythronema,0.9,2.3,0.7,1,0.6,1.4,1,1.4,3,3,6,red white_cream,Eucalyptus_erythronema,Eucalyptus erythronema,Symphyomyrtus
Eucalyptus eudesmioides,0.5,0.7,0.3,0.5,0.7,1.4,0.5,1.1,3,3,8,white_cream,Eucalyptus_eudesmioides,Eucalyptus eudesmioides,Eudesmia
Eucalyptus eugenioides,0.6,0.8,0.3,0.4,0.4,0.6,0.6,1,9,15,30,white_cream,Eucalyptus_eugenioides,Eucalyptus eugenioides,Eucalyptus
Eucalyptus ewartiana,0.6,0.9,0.5,0.7,0.2,0.6,0.7,1.3,7,7,7,white_cream,Eucalyptus_ewartiana,Eucalyptus ewartiana,Symphyomyrtus
Eucalyptus exigua,0.6,0.7,0.4,0.5,0.5,0.7,0.5,0.8,7,11,3,white_cream,Eucalyptus_exigua,Eucalyptus exigua,Symphyomyrtus
Eucalyptus exilipes,0.5,0.6,0.2,0.3,0.4,0.6,0.4,0.6,7,7,35,white_cream,Eucalyptus_exilipes,Eucalyptus exilipes,Symphyomyrtus
Eucalyptus exilis,0.6,0.8,0.4,0.5,0.8,1.5,0.9,1.3,11,11,4,white_cream,Eucalyptus_exilis,Eucalyptus exilis,Eucalyptus
Eucalyptus expressa,0.5,0.7,0.2,0.3,0.35,0.5,0.5,0.8,7,24,40,white_cream,NA,Eucalyptus expressa,Eucalyptus
Eucalyptus exserta,0.7,1.1,0.4,0.7,0.2,0.7,0.4,0.8,7,7,25,white_cream,NA,Eucalyptus exserta,Symphyomyrtus
Eucalyptus extensa,2.4,3.2,0.5,0.7,0.6,0.8,0.8,1.2,7,7,12,white_cream,Eucalyptus_extensa,Eucalyptus extensa,Symphyomyrtus
Eucalyptus extrica,0.6,0.8,0.5,0.6,1.3,2.1,1,2.2,3,3,4,white_cream,Eucalyptus_extrica,Eucalyptus extrica,Eudesmia
Eucalyptus falcata,1,2,0.5,0.7,0.4,0.9,0.7,1,7,19,5,white_cream,Eucalyptus_falcata,Eucalyptus falcata,Symphyomyrtus
Eucalyptus falciformis,0.3,0.5,0.3,0.4,0.5,0.8,0.5,0.8,11,11,20,white_cream,NA,Eucalyptus falciformis,Eucalyptus
Eucalyptus famelica,0.9,1.7,0.4,0.7,0.8,1.2,0.7,1,7,7,4,white_cream,Eucalyptus_famelica,Eucalyptus famelica,Symphyomyrtus
Eucalyptus farinosa,0.7,0.8,0.4,0.5,0.7,0.9,0.6,0.9,7,7,9,white_cream,Eucalyptus_farinosa,Eucalyptus farinosa,Symphyomyrtus
Eucalyptus fasciculosa,0.4,0.7,0.3,0.4,0.5,0.9,0.4,0.8,7,7,15,white_cream,Eucalyptus_fasciculosa,Eucalyptus fasciculosa,Symphyomyrtus
Eucalyptus fastigata,0.3,0.6,0.2,0.3,0.5,0.9,0.4,0.8,11,15,60,white_cream,Eucalyptus_fastigata,Eucalyptus fastigata,Eucalyptus
Eucalyptus fibrosa,0.7,2,0.3,0.5,0.4,1,0.4,1,7,11,35,white_cream,Eucalyptus_fibrosa,Eucalyptus fibrosa,Symphyomyrtus
Eucalyptus flavida,2.3,2.9,0.3,0.5,1,1.1,0.5,0.6,9,11,10,yellow,NA,Eucalyptus flavida,Symphyomyrtus
Eucalyptus flindersii,0.7,1.3,0.4,0.6,0.3,0.7,0.4,1,3,7,5,white_cream,Eucalyptus_flindersii,Eucalyptus flindersii,Symphyomyrtus
Eucalyptus flocktoniae,1.1,2.1,0.4,0.6,0.7,1,0.5,0.9,7,9,15,white_cream,Eucalyptus_flocktoniae,Eucalyptus flocktoniae,Symphyomyrtus
Eucalyptus foecunda,0.2,0.5,0.3,0.4,0.4,0.6,0.4,0.6,9,11,3,white_cream,Eucalyptus_foecunda,Eucalyptus foecunda,Symphyomyrtus
Eucalyptus foliosa,0.5,NA,0.35,0.4,0.4,0.5,0.6,0.7,7,9,3,white_cream,Eucalyptus_foliosa,Eucalyptus foliosa,Symphyomyrtus
Eucalyptus formanii,0.4,0.7,0.25,0.3,0.3,0.4,0.4,0.5,7,9,10,white_cream,Eucalyptus_formanii,Eucalyptus formanii,Symphyomyrtus
Eucalyptus forrestiana,3.5,4.3,1.1,2,3.5,5,1.7,3.3,1,1,4,yellow,Eucalyptus_forrestiana,Eucalyptus forrestiana,Symphyomyrtus
Eucalyptus fraseri,1,1.6,0.6,0.7,0.7,1.1,0.7,1.2,7,9,15,white_cream,Eucalyptus_fraseri,Eucalyptus fraseri,Symphyomyrtus
Eucalyptus fraxinoides,0.5,0.6,0.3,0.4,0.6,1,0.6,1.1,7,11,40,white_cream,Eucalyptus_fraxinoides,Eucalyptus fraxinoides,Eucalyptus
Eucalyptus frenchiana,1,1.5,0.8,1.2,0.9,1.2,1,1.3,3,3,12,white_cream,Eucalyptus_frenchiana,Eucalyptus frenchiana,Symphyomyrtus
Eucalyptus froggattii,0.7,1,0.5,0.7,0.6,0.9,0.5,0.8,7,11,9,white_cream,Eucalyptus_froggattii,Eucalyptus froggattii,Symphyomyrtus
Eucalyptus fruticosa,0.7,1,0.3,0.4,0.4,0.8,0.5,0.6,9,11,5,white_cream,Eucalyptus_fruticosa,Eucalyptus fruticosa,Symphyomyrtus
Eucalyptus fulgens,0.4,0.6,0.3,0.4,0.3,0.4,0.4,0.6,7,7,20,white_cream,Eucalyptus_fulgens,Eucalyptus fulgens,Symphyomyrtus
Eucalyptus fusiformis,0.5,0.9,0.3,0.5,0.5,1,0.4,0.5,7,7,30,white_cream,Eucalyptus_fusiformis,Eucalyptus fusiformis,Symphyomyrtus
Eucalyptus gamophylla,0.4,0.7,0.3,0.4,0.5,1.4,0.5,0.8,3,3,8,white_cream,Eucalyptus_gamophylla,Eucalyptus gamophylla,Eudesmia
Eucalyptus gardneri,1.5,2.6,0.2,0.5,0.7,1.1,0.5,0.6,9,11,15,white_cream,Eucalyptus_gardneri,Eucalyptus gardneri,Symphyomyrtus
Eucalyptus georgei,0.9,1.4,0.5,0.8,0.8,1.3,0.8,1.1,7,11,15,white_cream,Eucalyptus_georgei,Eucalyptus georgei,Symphyomyrtus
Eucalyptus gigantangion,2.2,2.8,1,1.4,3.5,5.8,2.2,5,7,7,30,orange,Eucalyptus_gigantangion,Eucalyptus gigantangion,Eudesmia
Eucalyptus gillenii,0.7,1.6,0.4,0.7,0.3,0.9,0.6,1.2,7,11,7,white_cream,Eucalyptus_gillenii,Eucalyptus gillenii,Symphyomyrtus
Eucalyptus gillii,0.8,1.4,0.3,0.5,0.4,0.9,0.5,0.8,7,11,8,white_cream,Eucalyptus_gillii,Eucalyptus gillii,Symphyomyrtus
Eucalyptus gittinsii,0.5,0.9,0.4,0.6,1,2,0.7,1.2,3,3,5,white_cream,Eucalyptus_gittinsii,Eucalyptus gittinsii,Eudesmia
Eucalyptus glaucescens,0.6,0.9,0.3,0.5,0.7,1.2,0.8,1.2,3,3,50,white_cream,Eucalyptus_glaucescens,Eucalyptus glaucescens,Symphyomyrtus
Eucalyptus glaucina,0.9,1.4,0.4,0.7,0.3,0.6,0.6,1,7,7,30,white_cream,Eucalyptus_glaucina,Eucalyptus glaucina,Symphyomyrtus
Eucalyptus globoidea,0.4,0.6,0.2,0.4,0.4,0.7,0.5,0.8,11,15,8,white_cream,Eucalyptus_globoidea,Eucalyptus globoidea,Eucalyptus
Eucalyptus globulus,0.8,2.5,0.5,2,0.5,1.5,0.6,2.7,1,7,90,white_cream,Eucalyptus_globulus,Eucalyptus globulus,Symphyomyrtus
Eucalyptus glomericassis,0.7,0.9,0.5,0.6,0.4,0.6,0.6,0.9,7,7,10,white_cream,NA,Eucalyptus glomericassis,Symphyomyrtus
Eucalyptus glomerosa,0.5,0.7,0.5,0.6,0.3,0.7,0.7,1.4,7,7,5,white_cream,Eucalyptus_glomerosa,Eucalyptus glomerosa,Symphyomyrtus
Eucalyptus gomphocephala,1.5,2.4,0.9,1.2,1,1.9,1.2,1.8,7,7,40,white_cream,Eucalyptus_gomphocephala,Eucalyptus gomphocephala,Symphyomyrtus
Eucalyptus gongylocarpa,0.5,0.6,0.3,0.5,0.6,1.1,0.6,1.2,7,7,20,white_cream,Eucalyptus_gongylocarpa,Eucalyptus gongylocarpa,Eudesmia
Eucalyptus goniantha,1,1.4,0.6,NA,0.6,1,0.8,1.2,7,11,7,white_cream,Eucalyptus_goniantha,Eucalyptus goniantha,Symphyomyrtus
Eucalyptus goniocalyx,0.6,1.3,0.3,0.7,0.5,1.2,0.6,1.1,7,7,20,white_cream,Eucalyptus_goniocalyx,Eucalyptus goniocalyx,Symphyomyrtus
Eucalyptus goniocarpa,2,2.5,0.6,0.8,1.2,1.4,0.9,1.2,3,3,7,white_cream,Eucalyptus_goniocarpa,Eucalyptus goniocarpa,Symphyomyrtus
Eucalyptus gracilis,0.3,0.7,0.3,0.5,0.4,0.8,0.3,0.7,7,11,8,white_cream,Eucalyptus_gracilis,Eucalyptus gracilis,Symphyomyrtus
Eucalyptus grandis,0.6,0.9,0.4,0.5,0.4,1,0.5,0.8,7,11,75,white_cream,Eucalyptus_grandis,Eucalyptus grandis,Symphyomyrtus
Eucalyptus granitica,0.4,0.6,0.3,NA,0.4,0.6,0.3,0.6,7,7,20,white_cream,Eucalyptus_granitica,Eucalyptus granitica,Symphyomyrtus
Eucalyptus gregoryensis,0.6,0.8,0.3,0.4,0.4,0.5,0.5,0.6,3,3,8,white_cream,Eucalyptus_gregoriensis,Eucalyptus gregoryensis,Symphyomyrtus
Eucalyptus gregsoniana,0.4,0.5,0.3,0.4,0.6,0.8,0.6,0.9,7,11,5,white_cream,Eucalyptus_gregsoniana,Eucalyptus gregsoniana,Eucalyptus
Eucalyptus griffithsii,0.8,1.5,0.7,1.5,0.8,1.6,1,1.5,3,3,10,white_cream,Eucalyptus_griffithsii,Eucalyptus griffithsii,Symphyomyrtus
Eucalyptus grisea,0.7,1,0.4,0.5,0.4,0.9,0.8,1.2,7,7,28,white_cream,Eucalyptus_grisea,Eucalyptus grisea,Symphyomyrtus
Eucalyptus grossa,1.8,3.2,0.7,1.3,1.4,2,1,1.5,7,7,3,yellow,Eucalyptus_grossa,Eucalyptus grossa,Symphyomyrtus
Eucalyptus guilfoylei,0.7,0.8,0.4,0.6,0.7,1,0.8,1,7,7,40,white_cream,Eucalyptus_guilfoylei,Eucalyptus guilfoylei,Cruciformes
Eucalyptus gunnii,0.5,0.9,0.3,0.5,0.5,0.9,0.5,0.7,3,3,37,white_cream,Eucalyptus_gunnii,Eucalyptus gunnii,Symphyomyrtus
Eucalyptus gypsophila,0.8,1.4,0.5,0.9,0.7,1.2,0.7,1.1,9,19,6,white_cream,Eucalyptus_gypsophila,Eucalyptus gypsophila,Symphyomyrtus
Eucalyptus haemastoma,0.4,0.6,0.3,0.4,0.5,0.9,0.7,1.1,9,15,18,white_cream,Eucalyptus_haemastoma,Eucalyptus haemastoma,Eucalyptus
Eucalyptus hallii,0.6,0.9,0.4,0.5,0.4,0.6,0.6,0.8,7,7,20,white_cream,Eucalyptus_hallii,Eucalyptus hallii,Symphyomyrtus
Eucalyptus halophila,0.4,0.5,0.3,0.5,0.5,0.9,0.5,0.8,7,7,4,white_cream,Eucalyptus_halophila,Eucalyptus halophila,Symphyomyrtus
Eucalyptus hebetifolia,1,1.6,0.25,0.4,0.6,0.8,0.4,0.6,11,15,8,white_cream,Eucalyptus_hebetifolia,Eucalyptus hebetifolia,Symphyomyrtus
Eucalyptus helidonica,0.4,0.5,0.2,NA,0.4,0.6,0.4,0.7,11,15,20,white_cream,NA,Eucalyptus helidonica,Eucalyptus
Eucalyptus herbertiana,0.4,0.8,0.25,0.4,0.25,0.5,0.4,0.6,7,7,8,white_cream,Eucalyptus_herbertiana,Eucalyptus herbertiana,Symphyomyrtus
Eucalyptus histophylla,2,3,0.35,0.4,0.8,1.1,0.5,0.7,11,11,6,yellow,Eucalyptus_histophylla,Eucalyptus histophylla,Symphyomyrtus
Eucalyptus horistes,0.5,1,0.2,0.4,0.3,0.7,0.4,0.6,7,13,8,white_cream,Eucalyptus_horistes,Eucalyptus horistes,Symphyomyrtus
Eucalyptus houseana,0.4,0.6,0.3,0.5,0.2,0.5,0.3,0.5,7,7,25,white_cream,Eucalyptus_houseana,Eucalyptus houseana,Symphyomyrtus
Eucalyptus howittiana,0.5,0.6,0.15,0.2,0.2,0.3,0.2,0.3,7,11,25,white_cream,Eucalyptus_howittiana,Eucalyptus howittiana,Symphyomyrtus
Eucalyptus hypolaena,1.3,2.5,0.6,0.8,0.7,1,0.8,1.2,7,7,15,yellow,Eucalyptus_hypolaena,Eucalyptus hypolaena,Symphyomyrtus
Eucalyptus hypostomatica,0.3,0.4,0.2,0.3,0.3,0.6,0.3,0.5,7,7,40,white_cream,NA,Eucalyptus hypostomatica,Symphyomyrtus
